fila,area_cm2,peso_ref_kg,pred_loo_kg,ip95_lo_kg,ip95_hi_kg,ape_pct
1,16159.61344187991,410.50109485,417.02721864906516,343.1398717968853,506.82452080974934,1.5897944928623973
2,12018.564270601944,367.4098197,355.1134402947917,292.51824387565813,431.10321533178205,3.346774839945388
3,15893.95222192332,397.34691612,413.8043114883905,340.8213590178861,502.41571919028314,4.141820334002623
4,15864.594893482717,410.50109485,412.6928784215407,339.7693735434856,501.267698508614,0.5339288004436532
5,16748.96919254144,449.0564463,423.0072335477338,347.86883049755284,514.3752585644944,5.800877142929061
6,16229.80533262407,379.65681369000004,419.98117022877375,346.4990644810127,509.0466365642833,10.621265070116621
7,14931.821833644706,432.72712098,398.3639000605997,329.12178011289876,482.1734885398793,7.941083249318344
8,14112.113203535944,337.92631565,388.9577113175314,322.79436131969385,468.6826020592632,15.101338162839642
9,15916.397767567376,438.17022942,412.07657375625587,339.588794564517,500.0374139448646,5.9551411555924165
10,14994.729640996307,474.45761902000004,398.0040788523216,331.144897520587,478.36233615297357,16.113881852207264
11,15586.717701020587,367.4098197,410.63541589845494,339.46429488569197,496.7280722318,11.76495397802644
12,16121.054784105712,349.71971727,420.2066441865429,349.18108220026403,505.6792387087182,20.155262467550184
13,15281.951533535013,415.03701855,404.00986212680164,333.03506983615557,490.11045225963477,2.6569091262566342
14,14131.021067619737,332.02961484,389.42930812343343,323.7291009102077,468.4632478176883,17.28752217210909
15,12709.885365443426,373.30652051000004,366.23713530805867,302.0222365101851,444.1051785739294,1.8937213291327977
16,11195.87604988358,326.13291403,343.74334042238775,282.48145036269693,418.2911264900001,5.399769736447951
17,15498.947023462257,379.65681369000004,408.7020653629197,337.23989591290996,495.3072879463011,7.65039652274907
18,15630.674761102064,432.72712098,408.3005698467635,336.62910634950936,495.2315536378596,5.644793207765099
19,11778.239429086807,337.92631565,352.62599987046764,290.32758307044844,428.29239464468833,4.349967297513619
20,16898.985932896303,426.83042017,426.75654324192135,350.44921125109107,519.6791470856161,0.01730826215461669
21,10317.665908206925,282.13445414,334.4339858610152,275.47438558021224,406.0126703370702,18.537094974959434
22,12271.684369058501,379.65681369000004,358.84608614569476,295.93974238508247,435.1240982514769,5.481457672796516
23,10941.894736010012,349.71971727,337.2248217048915,276.6790820660141,411.01979782758843,3.5728313126428177
24,13028.095146013276,373.30652051000004,371.2825807200748,306.2667165601511,450.1003448707586,0.5421656678164077
25,12406.206843695089,373.30652051000004,361.31608914611314,297.875935175883,438.2674155895077,3.21195336944716
26,15899.40591503959,443.61333786,411.580783735637,339.37229482119386,499.1531251238196,7.220827551959712
27,14426.895507992756,403.24361693000003,391.844552958628,323.33089488051945,474.8762215874406,2.82684300328325
28,12647.143112464517,320.68980559,367.1288025119926,304.316487741717,442.9058663041771,14.480970742601215
29,12491.816806513665,332.02961484,364.28391777587643,301.02404283307993,440.8377865808086,9.71428495961701
30,15223.844857460103,438.17022942,402.34219858171394,332.3175560600009,487.12215712834484,8.176737813911076
31,10997.75451072275,292.56707865000004,343.64435973993346,284.0124115136517,415.79677927347365,17.45831462843347
32,13971.516049774495,391.45021531000003,385.33168269049906,317.97397905121454,466.95803891920474,1.5630423436235785
33,11649.808845016452,361.51311889000004,349.10219663806356,287.2603084106841,424.2575118428313,3.433048927807468
34,10691.148885391765,343.82301646,333.06628043643127,272.8694876412328,406.5428792449441,3.128567753933418
35,9808.025364105313,385.5535145,308.2722727845798,254.33970524981183,373.6412058606044,20.044232203573962
36,14185.402559623819,454.49955474,387.00749600522107,321.74791263742077,465.503569973469,14.849752443297396
37,14536.026614405,415.03701855,393.1324875119411,324.5646750883152,476.185994964708,5.2777294696714
38,12982.040908804276,385.5535145,370.2035346085049,305.5058533740054,448.60239345021904,3.9812838722016326
39,16513.956701952742,403.24361693000003,422.7746234891535,347.7650522940068,513.9630365022615,4.843475690414686
40,13882.143851558008,438.17022942,382.8666267746497,317.610385345195,461.53041796313084,12.621487935991205
