folder,photo,iou,area_old,area_new,area_ratio,h_old,h_new,h_ratio,w_old,w_new,w_ratio
3677,IMG_20260604_064543,0.9336,650262,686303,1.0554,888,915,1.0304,1536,1517,0.9876
3677,IMG_20260604_064544,0.9301,662424,697320,1.0527,888,922,1.0383,1561,1530,0.9801
3677,IMG_20260604_064544_1,0.9271,652278,687415,1.0539,888,915,1.0304,1561,1524,0.9763
3677,IMG_20260604_064545,0.9296,638898,675365,1.0571,888,915,1.0304,1511,1491,0.9868
3677,IMG_20260604_064545_1,0.9214,660966,700936,1.0605,888,928,1.045,1459,1415,0.9698
3677,IMG_20260604_064549,0.9134,4383419,4600377,1.0495,2153,2257,1.0483,2767,2748,0.9931
3677,IMG_20260604_064552,0.9178,613812,641797,1.0456,888,921,1.0372,1274,1254,0.9843
3677,IMG_20260604_064553,0.9269,570444,599423,1.0508,888,922,1.0383,1306,1280,0.9801
3678,IMG_20260604_064423,0.932,751590,783453,1.0424,984,1011,1.0274,1382,1363,0.9863
3678,IMG_20260604_064425,0.9233,736512,783600,1.0639,900,947,1.0522,1652,1632,0.9879
3678,IMG_20260604_064425_1,0.9229,747150,794119,1.0629,960,979,1.0198,1600,1600,1.0
3678,IMG_20260604_064426,0.9273,719232,759583,1.0561,912,953,1.045,1529,1530,1.0007
3678,IMG_20260604_064427,0.9171,712890,754877,1.0589,936,966,1.0321,1524,1510,0.9908
3678,IMG_20260604_064427_1,0.9218,711852,757734,1.0645,960,985,1.026,1497,1498,1.0007
3678,IMG_20260604_064428,0.9201,752658,798612,1.0611,960,979,1.0198,1632,1606,0.9841
3678,IMG_20260604_064429,0.9204,748860,795192,1.0619,960,980,1.0208,1651,1632,0.9885
3678,IMG_20260604_064429_1,0.9233,762246,804332,1.0552,960,986,1.0271,1626,1599,0.9834
3678,IMG_20260604_064430,0.9188,750180,793448,1.0577,960,980,1.0208,1639,1612,0.9835
3678,IMG_20260604_064431,0.925,751104,794086,1.0572,936,967,1.0331,1594,1568,0.9837
3678,IMG_20260604_064431_1,0.9272,758574,799759,1.0543,912,953,1.045,1613,1594,0.9882
3678,IMG_20260604_064432,0.9244,741066,785844,1.0604,912,953,1.045,1574,1562,0.9924
3678,IMG_20260604_064433,0.92,738918,783109,1.0598,912,953,1.045,1613,1574,0.9758
3678,IMG_20260604_064433_1,0.9258,732642,772805,1.0548,912,953,1.045,1613,1581,0.9802
3678,IMG_20260604_064434,0.9218,737634,782820,1.0613,912,953,1.045,1613,1587,0.9839
3678,IMG_20260604_064435,0.9235,730236,772944,1.0585,912,960,1.0526,1638,1606,0.9805
3678,IMG_20260604_064435_1,0.9239,723156,767921,1.0619,936,966,1.0321,1607,1580,0.9832
3678,IMG_20260604_064436,0.9241,766842,809153,1.0552,936,960,1.0256,1638,1613,0.9847
3678,IMG_20260604_064437,0.9254,761136,805451,1.0582,936,967,1.0331,1638,1625,0.9921
3678,IMG_20260604_064437_1,0.9243,743694,786195,1.0571,936,954,1.0192,1632,1613,0.9884
3678_2,IMG_20260604_064459,0.9227,659412,699740,1.0612,876,915,1.0445,1395,1395,1.0
3678_2,IMG_20260604_064459_1,0.9204,673188,715852,1.0634,876,928,1.0594,1511,1472,0.9742
3678_2,IMG_20260604_064500,0.9265,699990,733825,1.0483,888,921,1.0372,1613,1594,0.9882
3678_2,IMG_20260604_064501,0.9193,685104,727488,1.0619,876,915,1.0445,1588,1555,0.9792
3678_2,IMG_20260604_064502,0.9212,681408,724873,1.0638,876,915,1.0445,1536,1530,0.9961
3678_2,IMG_20260604_064502_1,0.9201,691884,735733,1.0634,882,915,1.0374,1556,1536,0.9871
3678_2,IMG_20260604_064503,0.9191,692424,736565,1.0637,858,916,1.0676,1588,1568,0.9874
3678_2,IMG_20260604_064504,0.9219,706284,750150,1.0621,882,935,1.0601,1613,1574,0.9758
3678_2,IMG_20260604_064504_1,0.9181,709464,751644,1.0595,888,922,1.0383,1638,1599,0.9762
3678_2,IMG_20260604_064505,0.9288,698892,733757,1.0499,888,921,1.0372,1587,1549,0.9761
3678_2,IMG_20260604_064506,0.9203,731244,768942,1.0516,888,928,1.045,1689,1645,0.9739
3678_2,IMG_20260604_064507,0.9186,679836,718825,1.0574,912,947,1.0384,1511,1466,0.9702
3678_2,IMG_20260604_064508,0.9267,720150,757687,1.0521,888,928,1.045,1626,1606,0.9877
3679,IMG_20260604_065624,0.9385,635844,668241,1.051,1008,1062,1.0536,1036,1011,0.9759
3679,IMG_20260604_065625,0.9417,670740,701830,1.0464,984,1024,1.0407,960,954,0.9938
3679,IMG_20260604_065626,0.9296,625902,650160,1.0388,1008,1056,1.0476,908,883,0.9725
3679,IMG_20260604_065626_1,0.9307,574656,606012,1.0546,984,1031,1.0478,857,845,0.986
3679,IMG_20260604_065627,0.9214,592266,622974,1.0518,1008,1049,1.0407,832,813,0.9772
3679,IMG_20260604_065627_1,0.9247,603660,626398,1.0377,1080,1114,1.0315,806,794,0.9851
3679,IMG_20260604_065628,0.9224,580710,603865,1.0399,984,1024,1.0407,985,966,0.9807
