foto,fila,nombre,arete,telefono,marker_px,px_per_cm,distancia_m,nivel_distancia,cow_conf,area_px,lateral_area_cm2,lateral_area_cm2_corr,body_length_cm,height_cm,chest_depth_cm,aspect_ratio,fill_ratio,marcador_en_caja,seleccionada_3m,estado
IMG_20260912_071339.jpg,9,Cerezita,,xiaomi_15_ultra,123.57,8.238,3.177,3.0,0.926,1074227,15828.88,21204.01,212.07,151.49,136.32,1.3998,0.4927,0,1,ok
IMG_20260912_071339_1.jpg,9,Cerezita,,xiaomi_15_ultra,122.85,8.1898,3.195,3.0,0.955,1094816,16322.74,21830.78,217.22,150.06,136.76,1.4475,0.5007,0,0,ok
IMG_20260912_071340.jpg,9,Cerezita,,xiaomi_15_ultra,123.81,8.2539,3.17,3.0,0.952,1109322,16283.03,21823.84,220.99,152.05,136.78,1.4534,0.4846,0,1,ok
IMG_20260912_071340_1.jpg,9,Cerezita,,xiaomi_15_ultra,123.43,8.2289,3.18,3.0,0.937,1112349,16427.08,21998.7,220.81,151.66,137.69,1.4559,0.4905,0,1,ok
IMG_20260912_071347.jpg,9,Cerezita,,xiaomi_15_ultra,106.31,7.0873,3.692,3.5,0.928,842150,16766.02,21614.18,216.73,151.82,139.12,1.4275,0.5095,0,0,ok
IMG_20260912_071347_1.jpg,9,Cerezita,,xiaomi_15_ultra,106.34,7.0896,3.691,3.5,0.944,860112,17112.57,22062.63,223.0,148.95,137.24,1.4972,0.5152,0,0,ok
IMG_20260912_071348.jpg,9,Cerezita,,xiaomi_15_ultra,106.34,7.0896,3.691,3.5,0.947,856884,17048.35,21979.84,226.67,148.95,139.36,1.5218,0.5049,0,0,ok
IMG_20260912_071348_1.jpg,9,Cerezita,,xiaomi_15_ultra,106.08,7.0723,3.7,3.5,0.936,855991,17113.92,22051.54,228.07,147.48,138.43,1.5465,0.5088,0,0,ok
IMG_20260912_071349.jpg,9,Cerezita,,xiaomi_15_ultra,106.33,7.0889,3.692,3.5,0.947,855405,17022.36,21945.8,227.54,147.13,138.95,1.5465,0.5085,0,0,ok
IMG_20260912_071349_1.jpg,9,Cerezita,,xiaomi_15_ultra,106.07,7.0713,3.701,3.5,0.948,849810,16995.19,21897.81,227.96,146.65,136.61,1.5545,0.5084,0,0,ok
IMG_20260912_071350.jpg,9,Cerezita,,xiaomi_15_ultra,106.33,7.0888,3.692,3.5,0.934,853330,16981.1,21892.6,227.4,147.27,138.25,1.5441,0.5071,0,0,ok
IMG_20260912_071350_1.jpg,9,Cerezita,,xiaomi_15_ultra,106.34,7.0896,3.691,3.5,0.938,865435,17218.48,22199.18,231.04,148.95,139.08,1.5511,0.5003,0,0,ok
IMG_20260912_071350_2.jpg,9,Cerezita,,xiaomi_15_ultra,106.53,7.1023,3.685,3.5,0.938,834204,16537.72,21330.63,227.11,139.67,137.84,1.626,0.5213,0,0,ok
IMG_20260912_071351.jpg,9,Cerezita,,xiaomi_15_ultra,106.57,7.1046,3.683,3.5,0.943,840709,16655.95,21484.78,229.71,143.29,137.24,1.6031,0.506,0,0,ok
IMG_20260912_071356.jpg,9,Cerezita,,xiaomi_15_ultra,146.17,9.7449,2.685,2.5,0.955,1567747,16508.87,23228.88,233.15,147.77,136.69,1.5778,0.4792,0,0,ok
IMG_20260912_071357.jpg,9,Cerezita,,xiaomi_15_ultra,147.3,9.8199,2.665,2.5,0.958,1605883,16653.12,23488.5,230.04,144.6,135.54,1.5908,0.5006,0,0,ok
IMG_20260912_071616.jpg,10,Martinica,,xiaomi_15_ultra,157.58,10.5054,2.491,2.5,0.935,1600213,14499.57,20904.53,229.12,128.51,126.7,1.783,0.4925,0,0,ok
IMG_20260912_071617.jpg,10,Martinica,,xiaomi_15_ultra,157.36,10.4904,2.495,2.5,0.947,1652876,15019.56,21643.89,230.02,129.36,125.73,1.7782,0.5048,0,0,ok
IMG_20260912_071618.jpg,10,Martinica,,xiaomi_15_ultra,157.08,10.4717,2.499,2.5,0.944,1595607,14550.83,20955.99,230.33,127.1,126.53,1.8122,0.497,0,0,ok
IMG_20260912_071618_1.jpg,10,Martinica,,xiaomi_15_ultra,156.55,10.4367,2.507,2.5,0.949,1619193,14865.32,21385.02,229.29,130.02,126.96,1.7634,0.4986,0,0,ok
